,RANK,COUNTRY,PLAYER,CHANGE +/-,WIN - LOSE,PRIZE MONEY,POINTS / TOURNAMENTS
0,1,CHN,CHEN Long,0,279 - 65,"$756,812.50","94,951 / 12"
1,2,DEN,Jan O JORGENSEN,0,309 - 171,"$287,922.00","72,367 / 15"
2,3,IND,KIDAMBI Srikanth,0,98 - 50,"$130,072.50","69,164 / 15"
3,4,JPN,Kento MOMOTA,0,134 - 60,"$128,806.00","65,103 / 13"
4,5,CHN,LIN Dan,0,529 - 78,"$715,435.00","64,777 / 10"
5,6,DEN,Viktor AXELSEN,0,175 - 75,"$101,814.50","61,419 / 15"
6,7,CHN,WANG Zhengming,0,148 - 73,"$172,797.50","60,190 / 13"
7,8,TPE,CHOU Tien Chen,0,164 - 104,"$95,346.00","59,768 / 17"
8,9,KOR,SON Wan Ho,0,190 - 104,"$167,007.50","57,735 / 14"
9,10,IND,PARUPALLI Kashyap,0,200 - 150,"$100,662.50","56,541 / 15"
10,11,CHN,TIAN Houwei,0,78 - 40,"$83,232.50","53,730 / 14"
11,12,IND,H. S. Prannoy,0,110 - 58,"$32,211.00","49,100 / 12"
12,13,GER,Marc ZWIEBLER,1,306 - 162,"$124,343.00","47,173 / 18"
13,14,HKG,HU Yun,1,167 - 126,"$131,992.50","46,132 / 16"
14,15,DEN,Hans-Kristian VITTINGHUS,1,227 - 134,"$95,261.60","45,510 / 15"
15,16,INA,Tommy SUGIARTO,1,242 - 133,"$165,551.00","44,400 / 11"
16,17,KOR,LEE Hyun Il,-4,405 - 138,"$205,032.50","43,480 / 10"
17,18,CHN,XUE Song,0,85 - 31,"$35,142.50","43,360 / 13"
18,19,ENG,Rajiv OUSEPH,0,248 - 159,"$63,052.80","42,576 / 16"
19,20,HKG,WEI Nan,0,103 - 69,"$32,565.00","41,878 / 16"
20,21,INA,Dionysius Hayom RUMBAKA,0,178 - 106,"$93,347.50","41,680 / 12"
21,22,THA,Tanongsak SAENSOMBOONSUK,0,170 - 142,"$55,925.00","41,664 / 14"
22,23,JPN,Takuma UEDA,0,134 - 90,"$53,932.50","40,986 / 18"
23,24,TPE,HSU Jen Hao,0,173 - 116,"$49,118.50","39,728 / 23"
24,25,JPN,Sho SASAKI,0,310 - 194,"$119,830.00","38,560 / 11"
25,26,IRL,Scott EVANS,0,206 - 187,"$21,044.30","38,003 / 14"
26,27,HKG,NG Ka Long Angus,1,123 - 64,"$12,771.00","37,080 / 21"
27,28,THA,Boonsak PONSANA,1,354 - 226,"$211,527.50","36,257 / 13"
28,29,HKG,WONG Wing Ki Vincent,-2,152 - 126,"$72,432.50","36,216 / 19"
29,30,FRA,Brice LEVERDEZ,0,232 - 160,"$48,866.75","35,443 / 18"
30,31,IND,Ajay JAYARAM,1,169 - 122,"$42,756.00","34,450 / 18"
31,32,KOR,LEE Dong Keun,-1,91 - 66,"$27,762.50","33,863 / 15"
32,33,IND,B. Sai Praneeth,0,125 - 57,"$19,502.50","33,540 / 14"
33,34,JPN,Kazumasa SAKAI,0,101 - 45,"$20,021.50","32,150 / 13"
34,35,VIE,Tien Minh NGUYEN,0,312 - 131,"$175,443.00","31,480 / 10"
35,36,INA,Christie JONATAN,0,67 - 22,"$10,560.50","31,304 / 12"
36,37,INA,Andre Kurniawan TEDJONO,0,253 - 116,"$47,813.50","31,200 / 16"
37,38,JPN,Kenichi TAGO,0,194 - 117,"$186,225.50","30,620 / 9"
38,39,JPN,Riichi TAKESHITA,0,124 - 67,"$17,661.75","30,020 / 12"
39,40,MAS,Zulfadli ZULKIFFLI,0,127 - 86,"$10,227.50","29,960 / 16"
40,41,MAS,Wei Feng CHONG,0,169 - 118,"$57,293.50","29,060 / 12"
41,42,FIN,Ville LANG,0,300 - 155,"$29,900.00","28,568 / 17"
42,43,IND,R. M. V. Gurusaidutt,1,144 - 94,"$32,437.50","27,040 / 10"
43,44,DEN,Joachim PERSSON,1,279 - 170,"$56,750.00","26,730 / 18"
44,45,ESP,Pablo ABIAN,-2,271 - 128,"$26,713.50","26,561 / 14"
45,46,FRA,Thomas ROUXEL,4,114 - 93,"$4,006.50","26,209 / 19"
46,47,TPE,Tzu Wei WANG,-1,107 - 53,"$8,566.00","26,110 / 15"
47,48,SIN,Zi Liang Derek WONG,-1,149 - 127,"$24,618.00","25,925 / 15"
48,49,CZE,Petr KOUKAL,0,254 - 211,"$11,887.75","25,636 / 19"
49,50,CUB,Osleni GUERRERO,4,144 - 37,"$10,060.00","25,490 / 10"
50,51,RUS,Vladimir MALKOV,0,185 - 129,"$19,102.00","25,453 / 18"
51,52,DEN,Emil HOLST,0,129 - 63,"$10,915.50","24,910 / 14"
52,53,ISR,Misha ZILBERMAN,-5,152 - 139,"$8,398.50","24,889 / 14"
53,54,IND,Anand PAWAR,1,203 - 136,"$24,557.50","24,670 / 12"
54,55,USA,Howard SHU,-2,107 - 83,"$3,007.50","24,511 / 23"
55,56,NED,Eric PANG,1,319 - 213,"$40,596.05","24,224 / 13"
56,57,INA,Firman Abdul KHOLIK,1,36 - 9,"$7,510.00","23,931 / 10"
57,58,DEN,Rasmus FLADBERG,-2,124 - 63,"$9,646.00","23,550 / 15"
58,59,AUT,Luka WRABER,0,133 - 105,"$6,295.00","23,308 / 17"
59,60,GUA,Kevin CORDON,0,255 - 84,"$16,800.50","23,267 / 11"
60,61,UKR,Dmytro ZAVADSKY,0,227 - 130,"$19,476.50","23,100 / 17"
61,62,SWE,Henri HURSKAINEN,0,200 - 140,"$19,067.00","22,959 / 16"
62,63,AUT,David OBERNOSTERER,0,142 - 114,"$5,973.00","22,539 / 14"
63,64,GER,Dieter DOMKE,0,165 - 107,"$13,083.00","22,495 / 11"
64,65,MAS,LEE Chong Wei,34,584 - 117,"$1,359,295.00","22,383 / 3"
65,66,MAS,Mohamad Arif ABDUL LATIF,-1,166 - 113,"$20,631.00","22,010 / 14"
66,67,FIN,Eetu HEINO,-1,118 - 114,"$4,478.40","21,490 / 19"
67,68,CZE,Milan LUDIK,-1,78 - 60,"$1,660.00","21,223 / 22"
68,69,USA,Bjorn SEGUIN,-1,115 - 101,"$1,935.00","21,117 / 16"
69,70,BRA,Daniel PAIOLA,-1,132 - 95,"$3,780.00","21,026 / 13"
70,71,POL,Adrian DZIOLKO,0,88 - 52,"$2,093.50","20,885 / 18"
71,72,LTU,Kestutis NAVICKAS,0,228 - 162,"$10,511.00","20,837 / 17"
