,RANK,COUNTRY,PLAYER,CHANGE +/-,WIN - LOSE,PRIZE MONEY,POINTS / TOURNAMENTS
0,1,JPN JPN,Misaki MATSUTOMO Ayaka TAKAHASHI,0,177 - 93,"$332,502.26","76,439 / 17"
1,2,CHN CHN,LUO Ying LUO Yu,0,104 - 36,"$198,475.00","71,710 / 15"
2,3,DEN DEN,Kamilla RYTTER JUHL Christinna PEDERSEN,1,152 - 67,"$343,433.43","70,030 / 16"
3,4,INA INA,Nitya Krishinda MAHESWARI Greysia POLII,-1,98 - 45,"$231,637.13","69,932 / 17"
4,5,CHN CHN,TIAN Qing ZHAO Yunlei,0,164 - 33,"$718,719.25","55,300 / 6"
5,6,CHN CHN,MA Jin TANG Yuanting,2,42 - 12,"$336,755.00","54,019 / 8"
6,7,JPN JPN,Reika KAKIIWA Miyuki MAEDA,-1,71 - 45,"$241,501.45","53,200 / 16"
7,8,NED NED,Eefje MUSKENS Selena PIEK,1,86 - 36,"$71,029.24","51,745 / 19"
8,9,MAS MAS,Vivian Kah Mun HOO Khe Wei WOON,1,93 - 70,"$65,232.64","49,424 / 19"
9,10,KOR KOR,CHANG Ye Na LEE So Hee,7,28 - 7,"$127,086.85","48,180 / 8"
10,11,JPN JPN,Naoko FUKUMAN Kurumi YONAO,2,62 - 36,"$23,391.22","47,580 / 17"
11,12,IND IND,Jwala GUTTA Ashwini PONNAPPA,-1,69 - 81,"$75,325.74","46,314 / 19"
12,13,BUL BUL,Gabriela STOEVA Stefani STOEVA,-1,166 - 60,"$38,986.00","46,030 / 16"
13,14,KOR KOR,GO Ah Ra YOO Hae Won,0,66 - 48,"$56,582.48","45,450 / 15"
14,15,JPN JPN,Shizuka MATSUO Mami NAITO,0,141 - 87,"$147,388.32","43,330 / 14"
15,16,CHN CHN,WANG Xiaoli YU Yang (F),-9,189 - 27,"$1,114,243.75","43,130 / 7"
16,17,MAS MAS,Amelia Alicia ANSCELLY Fie Cho SOONG,2,63 - 46,"$27,931.54","43,060 / 16"
17,18,KOR KOR,JUNG Kyung Eun SHIN Seung Chan,4,26 - 8,"$151,232.01","42,650 / 8"
18,19,KOR KOR,CHAE Yoo Jung KIM So Yeong,1,15 - 11,"$48,735.61","41,320 / 11"
19,20,THA THA,Jongkolphan KITITHARAKUL Rawinda PRAJONGJAI,-4,30 - 30,"$11,160.60","40,620 / 20"
20,21,THA THA,Puttita SUPAJIRAKUL Sapsiree TAERATTANACHAI,-3,28 - 38,"$34,726.19","38,295 / 18"
21,22,HKG HKG,POON Lok Yan TSE Ying Suet,6,75 - 74,"$66,284.98","38,190 / 13"
22,23,KOR KOR,JUNG Kyung Eun CHANG Ye Na,0,11 - 9,"$211,337.64","37,845 / 8"
23,24,USA USA,Eva LEE Paula Lynn OBANANA,0,101 - 71,"$27,952.45","37,671 / 23"
24,25,KOR KOR,LEE So Hee SHIN Seung Chan,-4,101 - 50,"$66,981.22","37,590 / 10"
25,26,ENG ENG,Heather OLVER Lauren SMITH,-1,35 - 23,"$34,896.75","37,399 / 24"
26,27,GER GER,Carla NELTE Johanna GOLISZEWSKI,0,53 - 53,"$28,406.25","37,020 / 22"
27,28,JPN JPN,Ayane KURIHARA Naru SHINOYA,-2,40 - 19,"$21,223.61","35,460 / 13"
28,29,GER GER,Birgit MICHELS Isabel HERTTRICH,1,17 - 22,"$37,414.90","34,266 / 16"
29,30,INA INA,Pia Zebadiah BERNADETH Rizki Amelia PRADIPTA,1,83 - 55,"$84,387.49","33,920 / 10"
30,31,CHN CHN,OU Dongni YU Xiaohan,-2,27 - 4,"$91,859.99","32,940 / 5"
31,32,TUR TUR,Neslihan YIGIT Ozge BAYRAK,0,91 - 55,"$15,160.81","32,898 / 17"
32,33,THA THA,Chaladchalam Chayanit Phataimas MUENWONG,4,30 - 20,"$6,586.19","31,800 / 19"
33,34,NED NED,Samantha BARNING Iris TABELING,-1,43 - 39,"$22,970.45","31,742 / 19"
34,35,INA INA,Anggia Shitta AWANDA Mahadewi Istirani NI KETUT,-1,20 - 14,"$13,114.98","31,290 / 10"
