,RANK,COUNTRY,PLAYER,CHANGE +/-,WIN - LOSE,PRIZE MONEY,POINTS / TOURNAMENTS
0,1,ESP,Carolina MARIN,1,193 - 62,"$224,481.00","80,752 / 14"
1,2,IND,Saina NEHWAL,1,301 - 129,"$570,610.00","79,192 / 14"
2,3,CHN,LI Xuerui,-2,233 - 51,"$626,110.00","78,537 / 10"
3,4,TPE,TAI Tzu Ying,0,174 - 103,"$226,905.00","72,920 / 14"
4,5,THA,Ratchanok INTANON,1,213 - 98,"$295,955.00","69,587 / 15"
5,6,KOR,SUNG Ji Hyun,-1,205 - 107,"$298,365.00","68,498 / 14"
6,7,CHN,WANG Shixian,0,236 - 70,"$658,775.00","67,810 / 12"
7,8,CHN,WANG Yihan,0,324 - 78,"$738,865.50","66,328 / 15"
8,9,JPN,Akane YAMAGUCHI,2,96 - 30,"$69,527.50","57,355 / 15"
9,10,JPN,Nozomi OKUHARA,0,122 - 40,"$67,355.50","56,964 / 16"
10,11,CHN,SUN Yu,-2,82 - 27,"$77,655.00","56,380 / 10"
11,12,KOR,BAE Yeon Ju,0,198 - 118,"$188,907.50","51,576 / 14"
12,13,USA,Beiwen ZHANG,0,146 - 73,"$52,001.12","50,460 / 16"
13,14,IND,PUSARLA V. Sindhu,0,151 - 64,"$84,253.00","46,990 / 10"
14,15,CAN,Michelle LI,0,189 - 75,"$46,309.50","46,747 / 18"
15,16,JPN,Sayaka TAKAHASHI,0,122 - 55,"$65,367.00","44,710 / 13"
16,17,JPN,Minatsu MITANI,0,107 - 69,"$83,742.50","44,650 / 14"
17,18,THA,Busanan ONGBUMRUNGPHAN,0,133 - 66,"$52,695.00","40,565 / 14"
18,19,HKG,YIP Pui Yin,4,188 - 172,"$101,275.00","39,165 / 17"
19,20,CHN,LIU Xin (F),-1,116 - 42,"$138,327.50","38,800 / 7"
20,21,INA,Maria Febe KUSUMASTUTI,6,133 - 95,"$39,289.00","38,580 / 13"
21,22,JPN,Yui HASHIMOTO,13,81 - 38,"$61,264.00","38,290 / 13"
22,23,TPE,PAI Yu Po,-3,76 - 58,"$18,612.50","37,930 / 20"
23,24,TPE,HSU Ya Ching,2,73 - 62,"$23,800.00","37,860 / 18"
24,25,ESP,Beatriz CORRALES,-4,173 - 81,"$23,034.50","37,765 / 21"
25,26,THA,Porntip BURANAPRASERTSUK,-4,166 - 138,"$110,945.00","37,750 / 15"
26,27,JPN,Sayaka SATO,-3,139 - 93,"$63,325.00","37,380 / 13"
27,28,HKG,CHEUNG Ngan Yi,-3,58 - 51,"$12,845.00","36,948 / 16"
28,29,GER,Karin SCHNAASE,0,179 - 146,"$17,793.80","35,334 / 21"
29,30,INA,Lindaweni FANETRI,6,96 - 81,"$44,522.50","33,555 / 10"
30,31,KOR,KIM Hyo Min,3,90 - 41,"$12,325.50","33,490 / 11"
31,32,JPN,Kaori IMABEPPU,-2,139 - 86,"$47,729.50","33,220 / 13"
32,33,BUL,Linda ZETCHIRI,-2,251 - 170,"$30,986.40","32,740 / 18"
33,34,USA,Iris WANG,-1,90 - 82,"$14,125.50","31,405 / 22"
34,35,SCO,Kirsty GILMOUR,-3,123 - 60,"$26,264.00","30,640 / 14"
35,36,THA,Nitchaon JINDAPOL,-8,116 - 80,"$62,185.00","29,710 / 13"
36,37,DEN,Line KJAERSFELDT,2,95 - 59,"$6,672.50","29,372 / 14"
37,38,CHN,YAO Xue,14,64 - 33,"$43,770.00","29,350 / 9"
38,39,SUI,Sabrina JAQUET,4,129 - 123,"$9,726.50","29,031 / 20"
39,40,USA,SCHAFER Rong,0,74 - 39,"$7,557.50","28,640 / 23"
40,41,BUL,Petya NEDELCHEVA,0,460 - 224,"$76,226.50","28,530 / 18"
41,42,INA,Adrianti FIRDASARI,-5,160 - 124,"$61,622.50","28,430 / 8"
42,43,JPN,Aya OHORI,-1,79 - 31,"$12,795.00","28,090 / 10"
43,44,SIN,Jiayuan CHEN,-6,94 - 94,"$12,932.37","27,489 / 11"
44,45,TUR,Neslihan YIGIT,0,157 - 64,"$7,588.00","27,192 / 13"
45,46,DEN,Anna Thea MADSEN,1,106 - 44,"$3,800.00","26,947 / 13"
46,47,VIE,Thi Trang (B) VU,1,51 - 49,"$7,478.00","26,872 / 12"
47,48,IRL,Chloe MAGEE,1,155 - 131,"$15,166.75","26,792 / 16"
48,49,FRA,Sashina VIGNES WARAN,-3,156 - 99,"$13,627.00","26,597 / 14"
49,50,RUS,Natalia PERMINOVA,3,94 - 80,"$7,069.50","26,509 / 19"
50,51,RUS,Ksenia POLIKARPOVA,3,86 - 78,"$6,390.00","26,203 / 20"
