,RANK,COUNTRY,PLAYER,CHANGE +/-,WIN - LOSE,PRIZE MONEY,POINTS / TOURNAMENTS
0,1,ESP,Carolina MARIN,0,222 - 71,"$306,631.00","91,192 / 14"
1,2,IND,Saina NEHWAL,0,322 - 131,"$602,097.50","76,522 / 13"
2,3,CHN,LI Xuerui,0,253 - 52,"$734,260.00","74,767 / 14"
3,4,CHN,WANG Yihan,0,343 - 84,"$823,403.00","72,238 / 17"
4,5,KOR,SUNG Ji Hyun,0,233 - 118,"$378,830.00","71,738 / 21"
5,6,THA,Ratchanok INTANON,0,218 - 107,"$329,460.00","71,707 / 18"
6,7,CHN,WANG Shixian,0,253 - 78,"$695,962.50","70,610 / 14"
7,8,JPN,Nozomi OKUHARA,0,144 - 48,"$197,475.50","68,354 / 20"
8,9,TPE,TAI Tzu Ying,0,186 - 108,"$247,055.00","65,250 / 16"
9,10,JPN,Akane YAMAGUCHI,0,113 - 38,"$105,367.50","56,925 / 19"
10,11,CHN,SUN Yu,0,87 - 35,"$86,055.00","53,380 / 15"
11,12,IND,PUSARLA V. Sindhu,0,167 - 74,"$132,643.00","52,200 / 15"
12,13,JPN,Sayaka SATO,0,167 - 102,"$85,857.50","48,440 / 17"
13,14,KOR,BAE Yeon Ju,0,215 - 133,"$198,187.50","47,406 / 23"
14,15,CAN,Michelle LI,0,214 - 82,"$54,934.50","46,687 / 18"
15,16,JPN,Yui HASHIMOTO,0,92 - 49,"$69,169.00","46,360 / 20"
16,17,JPN,Minatsu MITANI,0,126 - 81,"$99,390.00","45,400 / 22"
17,18,SCO,Kirsty GILMOUR,0,175 - 77,"$44,397.50","44,837 / 20"
18,19,THA,Busanan ONGBUMRUNGPHAN,0,132 - 78,"$61,865.00","44,415 / 23"
19,20,JPN,Sayaka TAKAHASHI,0,123 - 59,"$69,929.50","43,190 / 13"
20,21,INA,Maria Febe KUSUMASTUTI,0,143 - 111,"$44,744.00","41,450 / 21"
21,22,THA,Porntip BURANAPRASERTSUK,0,179 - 147,"$116,950.00","39,860 / 20"
22,23,INA,Lindaweni FANETRI,0,104 - 92,"$46,382.50","39,775 / 17"
23,24,TPE,PAI Yu Po,0,88 - 71,"$26,765.00","39,770 / 23"
24,25,HKG,CHEUNG Ngan Yi,0,72 - 59,"$16,765.00","38,808 / 18"
25,26,GER,Karin SCHNAASE,0,218 - 168,"$23,914.55","37,674 / 27"
26,27,THA,Nitchaon JINDAPOL,0,135 - 89,"$69,040.50","35,270 / 19"
27,28,DEN,Line KJAERSFELDT,0,122 - 73,"$15,171.50","34,682 / 18"
28,29,KOR,KIM Hyo Min,0,101 - 48,"$16,385.50","34,330 / 15"
29,30,CHN,HE Bingjiao,0,77 - 17,"$44,795.00","34,140 / 7"
30,31,USA,Iris WANG,0,107 - 97,"$15,895.50","33,545 / 29"
31,32,MAS,Jing Yi TEE,0,102 - 105,"$20,511.00","33,430 / 18"
32,33,TPE,HSU Ya Ching,0,81 - 72,"$27,465.00","33,230 / 23"
33,34,USA,Beiwen ZHANG,0,151 - 77,"$54,808.62","33,160 / 12"
34,35,HKG,YIP Pui Yin,0,194 - 182,"$102,920.00","32,915 / 19"
35,36,USA,SCHAFER Rong,0,96 - 56,"$9,831.00","32,670 / 25"
36,37,JPN,Kaori IMABEPPU,0,151 - 96,"$52,019.50","31,930 / 14"
37,38,ESP,Beatriz CORRALES,0,190 - 92,"$24,479.50","31,585 / 17"
38,39,GER,Olga KONON,0,211 - 85,"$29,426.25","31,520 / 16"
39,40,BUL,Linda ZETCHIRI,0,294 - 178,"$33,339.90","31,060 / 20"
40,41,CZE,Kristina GAVNHOLT,0,201 - 146,"$21,806.00","29,950 / 19"
41,42,SIN,Xiaoyu LIANG,0,102 - 61,"$9,140.00","27,996 / 14"
42,43,THA,Pornpawee CHOCHUWONG,0,86 - 42,"$7,088.00","27,500 / 9"
43,44,JPN,Aya OHORI,0,80 - 39,"$15,315.00","27,460 / 13"
44,45,DEN,Anna Thea MADSEN,0,117 - 52,"$6,300.50","27,187 / 14"
45,46,DEN,Natalia Koch ROHDE,0,70 - 27,"$5,747.50","27,070 / 14"
46,47,VIE,Thi Trang (B) VU,0,66 - 59,"$8,585.50","25,642 / 17"
47,48,USA,Jamie SUBANDHI,0,70 - 76,"$3,927.50","25,565 / 17"
48,49,RUS,Natalia PERMINOVA,0,109 - 99,"$8,389.50","25,439 / 22"
49,50,INA,Hana RAMADHINI,0,79 - 43,"$8,708.00","25,410 / 13"
50,51,SUI,Sabrina JAQUET,0,154 - 140,"$9,779.00","25,402 / 22"
51,52,BUL,Petya NEDELCHEVA,0,488 - 236,"$76,667.50","25,190 / 19"
52,53,RUS,Ksenia POLIKARPOVA,0,96 - 93,"$6,990.00","25,103 / 23"
53,54,CHN,CHEN Yufei,0,49 - 20,"$12,155.00","25,060 / 7"
54,55,IRL,Chloe MAGEE,0,175 - 142,"$15,466.75","24,993 / 16"
55,56,TUR,Neslihan YIGIT,0,160 - 67,"$8,023.00","24,932 / 13"
56,57,BRA,Lohaynny VICENTE,0,104 - 49,"$6,535.00","24,803 / 18"
57,58,SIN,Jiayuan CHEN,0,103 - 102,"$13,832.37","24,749 / 11"
58,59,ITA,Jeanine CICOGNINI,2,194 - 141,"$18,066.25","24,707 / 23"
59,60,NED,Soraya DE VISCH EIJBERGEN,-1,104 - 64,"$4,501.50","24,096 / 17"
60,61,TPE,Chia Hsin LEE,-1,62 - 41,"$3,555.50","24,000 / 15"
61,62,UKR,Maria ULITINA,0,128 - 71,"$7,412.00","23,930 / 15"
62,63,AUS,Hsuan-Yu Wendy CHEN,0,25 - 25,"$1,350.00","23,690 / 16"
63,64,BEL,Lianne TAN,0,151 - 127,"$9,291.00","23,550 / 23"
64,65,THA,Supanida KATETHONG,0,54 - 24,"$5,497.50","23,470 / 10"
65,66,TUR,Ozge BAYRAK,0,139 - 73,"$9,305.00","23,367 / 13"
66,67,CHN,SHEN Yaying,0,30 - 14,"$17,935.00","23,340 / 7"
67,68,AUT,Elisabeth BALDAUF,4,56 - 33,"$3,855.00","22,956 / 21"
68,69,HUN,Laura SAROSI,-1,96 - 65,"$3,782.50","22,900 / 22"
69,70,INA,Fitriani FITRIANI,-1,42 - 24,"$4,252.50","22,790 / 16"
70,71,DEN,Mette POULSEN,-1,84 - 52,"$4,916.50","22,760 / 16"
71,72,BRA,Fabiana SILVA,-1,95 - 81,"$4,032.50","22,669 / 18"
72,73,FRA,Delphine LANSAC,0,108 - 54,"$2,486.50","22,433 / 15"
73,74,MRI,Kate FOO KUNE,0,108 - 74,"$3,001.25","22,245 / 20"
74,75,CAN,Rachel HONDERICH,0,35 - 29,"$1,130.00","22,169 / 11"
75,76,FIN,Airi MIKKELA,0,78 - 70,"$2,047.50","21,080 / 19"
76,77,POR,Telma SANTOS,0,213 - 116,"$10,246.50","21,070 / 10"
77,78,AUS,Joy LAI,0,50 - 55,$247.50,"21,069 / 13"
78,79,TPE,CHENG Chi Ya,0,58 - 49,"$12,686.50","21,040 / 11"
79,80,FIN,Nanna VAINIO,0,90 - 101,"$2,694.50","20,900 / 25"
80,81,CHN,YAO Xue,0,66 - 34,"$44,070.00","20,320 / 6"
81,82,NGR,Grace GABRIEL,0,114 - 70,"$5,270.00","20,296 / 18"
82,83,KOR,Jang Mi LEE,0,61 - 26,"$8,220.00","20,290 / 8"
83,84,EST,Kati TOLMOFF,0,205 - 115,"$6,803.10","20,260 / 18"
84,85,ENG,Fontaine Mica CHAPMAN,0,95 - 81,"$2,795.00","19,805 / 17"
85,86,EGY,Hadia HOSNY,0,112 - 100,"$2,391.50","19,322 / 23"
86,87,MAS,Yen Mei HO,0,67 - 42,"$1,762.50","19,040 / 13"
87,88,MEX,Haramara GAITAN,5,56 - 45,"$1,785.00","18,840 / 18"
88,89,INA,Ruselli HARTAWAN,-1,62 - 39,"$5,870.00","18,830 / 11"
89,90,FRA,Sashina VIGNES WARAN,-1,166 - 105,"$14,278.00","18,717 / 8"
90,91,TPE,HUNG Shih Han,-1,78 - 80,"$10,193.50","18,620 / 13"
91,92,JPN,Saena KAWAKAMI,-1,39 - 9,"$13,170.00","18,360 / 5"
