,RANK,COUNTRY,PLAYER,CHANGE +/-,WIN - LOSE,PRIZE MONEY,POINTS / TOURNAMENTS
0,1,DEN DEN,Joachim FISCHER NIELSEN Christinna PEDERSEN,1,221 - 64,"$638,571.49","75,874 / 12"
1,2,CHN CHN,ZHANG Nan ZHAO Yunlei,-1,221 - 34,"$955,150.00","72,110 / 8"
2,3,CHN CHN,LIU Cheng BAO Yixin,2,53 - 22,"$170,296.24","66,030 / 11"
3,4,CHN CHN,XU Chen MA Jin,0,161 - 44,"$787,393.12","63,560 / 9"
4,5,INA INA,Tontowi AHMAD Liliyana NATSIR,-2,191 - 48,"$706,246.25","61,800 / 8"
5,6,CHN CHN,LU Kai HUANG Yaqiong,1,46 - 16,"$117,704.99","61,220 / 14"
6,7,ENG ENG,Chris ADCOCK Gabrielle ADCOCK,-1,112 - 80,"$163,999.77","59,859 / 14"
7,8,INA INA,Riky WIDIANTO Puspita Richi DILI,1,74 - 44,"$98,733.58","56,000 / 13"
8,9,KOR KOR,KO Sung Hyun KIM Ha Na,-1,50 - 29,"$187,924.99","54,190 / 13"
9,10,GER GER,Michael FUCHS Birgit MICHELS,0,122 - 69,"$151,341.26","51,628 / 12"
10,11,INA INA,Praveen JORDAN Debby SUSANTO,1,37 - 18,"$103,931.85","50,930 / 12"
11,12,DEN DEN,Mads Pieler KOLDING Kamilla RYTTER JUHL,-1,45 - 29,"$155,575.62","50,090 / 10"
12,13,THA THA,Sudket PRAPAKAMOL Saralee THOUNGTHONGKAM,0,275 - 167,"$326,022.47","44,340 / 13"
13,14,HKG HKG,LEE Chun Hei Reginald CHAU Hoi Wah,2,59 - 34,"$134,802.10","41,800 / 12"
14,15,INA INA,Edi SUBAKTIAR Gloria Emanuelle WIDJAJA,9,45 - 22,"$44,619.10","40,920 / 11"
15,16,INA INA,Muhammad RIJAL Vita MARISSA,-2,40 - 16,"$238,905.63","40,650 / 11"
16,17,SIN SIN,Danny Bawa CHRISNANTA Yu Yan Vanessa NEO,-2,103 - 85,"$66,066.12","40,640 / 15"
17,18,GER GER,Max SCHWENGER Carla NELTE,-1,47 - 37,"$14,108.01","39,023 / 15"
18,19,NED NED,Jorrit DE RUITER Samantha BARNING,-1,59 - 39,"$24,159.41","39,005 / 18"
19,20,HKG HKG,CHAN Alan Yun Lung TSE Ying Suet,1,45 - 35,"$40,954.74","38,040 / 14"
20,21,NED NED,Jacco ARENDS Selena PIEK,-2,73 - 48,"$30,311.99","37,886 / 17"
21,22,THA THA,Maneepong JONGJIT Sapsiree TAERATTANACHAI,-2,28 - 23,"$36,814.34","36,260 / 11"
22,23,RUS RUS,Vitalij DURKIN Nina VISLOVA,-1,148 - 65,"$63,584.23","35,670 / 14"
23,24,IRL IRL,Sam MAGEE Chloe MAGEE,-1,102 - 80,"$20,715.74","35,140 / 17"
24,25,JPN JPN,Kenichi HAYAKAWA Misaki MATSUTOMO,3,57 - 59,"$42,371.34","35,130 / 11"
25,26,USA USA,Phillip CHEW Jamie SUBANDHI,1,49 - 42,"$16,532.40","34,656 / 18"
26,27,GER GER,Peter KAESBAUER Isabel HERTTRICH,-1,49 - 34,"$22,003.99","33,900 / 15"
27,28,INA INA,Markis KIDO Pia Zebadiah BERNADETH,-3,59 - 47,"$102,761.10","32,120 / 11"
28,29,RUS RUS,Evgenij DREMIN Evgenia DIMOVA,0,50 - 32,"$16,109.99","32,080 / 14"
29,30,INA INA,Ronald ALEXANDER Melati Daeva OKTAVIANI,0,29 - 11,"$10,919.86","31,890 / 10"
30,31,INA INA,Alfian Eko PRASETYA Annisa SAUFIKA,0,27 - 9,"$22,849.33","31,710 / 8"
31,32,CAN CAN,Toby NG Alex BRUCE,2,34 - 12,"$16,404.96","30,441 / 11"
32,33,KOR KOR,SHIN Baek Cheol CHANG Ye Na,2,43 - 23,"$103,674.98","29,650 / 9"
33,34,DEN DEN,Niclas NOHR Sara THYGESEN,-1,39 - 17,"$10,150.75","29,280 / 12"
34,35,FRA FRA,Gaetan MITTELHEISSER Audrey FONTAINE,1,38 - 29,"$6,399.00","28,800 / 15"
35,36,SCO SCO,Robert BLAIR Imogen BANKIER,-4,102 - 46,"$95,415.01","27,488 / 9"
36,37,PER PER,Mario CUBA Katherine WINDER,1,59 - 23,"$5,398.70","27,365 / 14"
37,38,RUS RUS,Anatoliy YARTSEV Evgeniya KOSETSKAYA,-1,56 - 39,"$5,008.99","27,130 / 16"
38,39,FRA FRA,Ronan LABAR Emilie LEFEL,0,41 - 30,"$9,973.49","25,361 / 16"
39,40,USA USA,Howard SHU Eva LEE,0,20 - 11,"$13,710.98","24,901 / 9"
40,41,SWE SWE,Jonatan NORDH Emelie FABBEKE,1,33 - 33,"$3,489.38","24,696 / 19"
41,42,PER PER,Andres CORPANCHO Luz Maria ZORNOZA,1,30 - 14,"$1,783.99","24,527 / 15"
42,43,KOR KOR,YOO Yeon Seong EOM Hye Won,1,29 - 10,"$130,225.00","24,500 / 5"
43,44,MAS MAS,WONG Fai Yin Mei Kuan CHOW,2,18 - 17,"$5,159.98","24,330 / 12"
44,45,MAS MAS,Chee Tean TAN Shevon Jemie LAI,3,0 - 0,"$5,471.23","22,650 / 11"
45,46,THA THA,Nipitphon PUANGPUAPECH Puttita SUPAJIRAKUL,-5,0 - 0,"$13,038.72","22,630 / 9"
46,47,MAS MAS,Aik Quan TAN Pei Jing LAI,11,0 - 0,"$30,499.57","22,360 / 8"
47,48,KOR KOR,SolGyu CHOI CHAE Yoo Jung,6,0 - 0,"$50,436.24","22,180 / 7"
48,49,BRA BRA,Alex Yuwan TJONG Lohaynny VICENTE,0,0 - 0,"$3,628.67","21,797 / 11"
49,50,DEN DEN,Mathias CHRISTIANSEN Lena GREBAK,15,0 - 0,"$12,617.00","21,790 / 8"
50,51,JPN JPN,Hirokatsu HASHIMOTO Miyuki MAEDA,-6,0 - 0,"$26,863.74","21,760 / 8"
51,52,RUS RUS,Rodion KARGAEV Ekaterina BOLOTOVA,-2,0 - 0,,"20,620 / 13"
52,53,GER GER,Jones Ralfy JANSEN Cisita Joity JANSEN,9,0 - 0,,"20,250 / 10"
53,54,CAN CAN,PHILLIPE Charron Phyllis CHAN,-2,0 - 0,,"20,145 / 10"
54,55,BRA BRA,Hugo ARTHUSO Fabiana SILVA,-2,0 - 0,,"19,970 / 13"
55,56,ENG ENG,Harley TOWLER Emily WESTWOOD,5,0 - 0,,"19,760 / 12"
56,57,CAN CAN,Henry WIEBE Grace GAO,-1,0 - 0,,"19,020 / 9"
57,58,SIN SIN,Yong Kai Terry HEE Wei Han TAN,-1,0 - 0,,"18,850 / 7"
58,59,CHN CHN,ZHENG Siwei CHEN Qingchen,0,0 - 0,,"18,700 / 3"
59,60,CZE CZE,Jakub BITMAN Alzbeta BASOVA,0,0 - 0,,"18,585 / 13"
60,61,MAS MAS,Peng Soon CHAN Pei Jing LAI,-14,0 - 0,,"18,440 / 4"
61,62,GUA GUA,SOLIS JONATHAN Nikte Alejandra SOTOMAYOR,1,0 - 0,,"18,230 / 10"
62,63,IND IND,Akshay DEWALKAR Pradnya GADRE,1,0 - 0,,"17,960 / 6"
63,64,TPE TPE,LIAO Min Chun CHEN Hsiao Huan,2,0 - 0,,"17,780 / 8"
64,65,INA INA,Fran KURNIAWAN Komala DEWI,2,0 - 0,,"17,760 / 6"
65,66,SIN SIN,Chayut TRIYACHART Shinta Mulia SARI,35,0 - 0,,"17,500 / 6"
66,67,CHN CHN,LIU Yuchen YU Xiaohan,1,0 - 0,,"17,440 / 4"
67,68,UKR UKR,Gennadiy NATAROV Yuliya KAZARINOVA,1,0 - 0,,"17,110 / 10"
68,69,DEN DEN,Anders KRISTIANSEN Julie HOUMANN,-18,0 - 0,,"16,960 / 4"
69,70,IND IND,Arun VISHNU Aparna BALAN,0,0 - 0,,"16,930 / 7"
70,71,TPE TPE,Chi-Lin WANG CHENG Chi Ya,23,0 - 0,,"16,730 / 8"
71,72,POL POL,Robert MATEUSIAK Agnieszka WOJTKOWSKA,-1,0 - 0,,"16,697 / 7"
72,73,INA INA,Irfan FADHILAH Weni ANGGRAINI,-1,0 - 0,,"16,520 / 6"
73,74,TPE TPE,CHEN Hung Ling CHENG Wen Hsing,-19,0 - 0,,"16,270 / 5"
74,75,RUS IND,Vladimir IVANOV Ashwini PONNAPPA,-2,0 - 0,,"16,070 / 6"
75,76,BRA BRA,Daniel PAIOLA Paula B PEREIRA,-2,0 - 0,,"15,915 / 13"
76,77,POL POL,Pawel PIETRYJA Aneta WOJTKOWSKA,-1,0 - 0,,"15,580 / 11"
77,78,ENG ENG,Christopher COLES Sophie BROWN,-1,0 - 0,,"15,420 / 9"
78,79,TUR TUR,Ramazan OZTURK Neslihan KILIC,6,0 - 0,,"15,408 / 13"
79,80,GER GER,Raphael BECK Kira KATTENBECK,-5,0 - 0,,"14,700 / 8"
80,81,GER GER,Mark LAMSFUSS Franziska VOLKMANN,10,0 - 0,,"14,630 / 11"
81,82,PER PER,Martin DEL VALLE Daniela MACIAS,4,0 - 0,,"14,447 / 12"
